,Say,g1,g2,g3,g4,g5,timestamp
207,AR,-12.410255432128906,-14.344322204589844,-14.813185691833496,-16.16117286682129,-18.59340476989746,1576052804.664223
208,AR,-5.904761791229248,-8.923074722290039,-10.241756439208984,-8.54212474822998,-11.179486274719238,1576080214.7668881
209,AR,1.0,1.0,1.0,-0.7765567898750305,-10.21245288848877,1576078056.345119
210,EU,-2.124542236328125,-2.593404769897461,0.0,-3.824173927307129,-11.882782936096191,1576046879.655467
211,OO,-16.33699607849121,-12.879119873046875,-16.659339904785156,-16.835163116455078,-10.710622787475586,1576077904.747967
212,AR,-7.75091552734375,-5.846151828765869,-5.054943084716797,-5.435897350311279,-4.3223443031311035,1576047270.884599
213,AA,-4.996336936950684,-12.322343826293945,-18.153844833374023,-14.578754425048828,-7.223443031311035,1576078111.380595
214,OO,-4.996336936950684,-12.322343826293945,-18.153844833374023,-14.578754425048828,-7.223443031311035,1576078118.793387
215,EU,-14.959707260131836,-6.8424906730651855,-7.545787334442139,-9.098898887634277,-7.340657711029053,1575905824.637414
216,AA,1.0,0.0,1.0,1.0,0.0,1576046987.917183
217,EE,-2.65201473236084,-2.065932273864746,-8.278388023376465,-9.890108108520508,-10.124541282653809,1575906046.227994
218,AA,0.0,-9.30402946472168,-13.054944038391113,-6.578754425048828,0.0,1575903897.3320231
219,EE,-7.106226921081543,0.0,-6.666666507720947,-2.1538443565368652,0.0,1576050888.827801
220,EU,-12.556777000427246,-15.985347747802734,-8.864468574523926,-21.318679809570312,-19.912086486816406,1576033800.9292789
221,AA,-12.468864440917969,-6.69597053527832,-6.197800636291504,-8.366300582885742,-13.523809432983398,1576080579.976234
222,OO,-6.256410121917725,-6.813185214996338,-5.084249019622803,-8.307690620422363,-5.611721515655518,1575907884.547929
223,AR,-4.468864440917969,-9.479853630065918,-17.245420455932617,-17.421245574951172,-11.531134605407715,1576033699.567246
224,OO,-11.120877265930176,-11.267398834228516,-15.48717975616455,-10.886446952819824,-11.296701431274414,1576081489.018653
225,OO,-2.4175806045532227,-0.3076923191547394,-3.267399311065674,-9.94871711730957,-17.040292739868164,1576078367.855568
226,OO,-20.02930450439453,-11.003662109375,-10.388277053833008,-20.205127716064453,-17.45054817199707,1575903545.025007
227,EU,-19.267398834228516,-17.128204345703125,-18.710622787475586,-19.706958770751953,-17.157508850097656,1576053347.7952042
228,AR,-2.4175806045532227,-0.3076923191547394,-3.267399311065674,-8.307690620422363,-17.040292739868164,1576078316.021432
229,OO,-15.45787525177002,-13.934064865112305,-14.813185691833496,-16.16117286682129,-20.967031478881836,1576052877.890874
230,OO,-22.256410598754883,-16.102563858032227,-17.655677795410156,-14.40293025970459,-16.4835147857666,1575905141.8668818
231,OO,-5.377289295196533,-9.15750789642334,-11.179486274719238,-11.267398834228516,-8.776556968688965,1576080031.32004
232,EE,-6.256410121917725,-6.813185214996338,-5.084249019622803,-10.5054931640625,-6.227106094360352,1575907866.795793
233,EU,-10.44688606262207,-13.435897827148438,-11.64834976196289,-12.029304504394531,-20.380952835083008,1575905276.424556
234,AA,-16.014652252197266,-15.780219078063965,-6.285712718963623,-12.087910652160645,-7.545787334442139,1576052419.172958
235,EE,-8.278388023376465,-18.183149337768555,-19.853479385375977,-21.318679809570312,-19.912086486816406,1576033781.593089
236,OO,0.0,-9.30402946472168,-13.054944038391113,-6.578754425048828,0.0,1575903914.592905
237,EE,-17.9780216217041,-16.102563858032227,-15.076922416687012,-17.157508850097656,-16.27838897705078,1576047541.668021
238,OO,-8.190476417541504,-7.047618865966797,-2.769228935241699,-6.959706783294678,-7.428569793701172,1576057515.2468572
239,EU,-2.65201473236084,-2.065932273864746,-8.278388023376465,-9.890108108520508,-10.124541282653809,1575906051.110454
240,EE,0.0,-6.930402755737305,-16.512821197509766,-20.761903762817383,-23.428569793701172,1576051951.617621
241,OO,-10.44688606262207,-13.435897827148438,-11.64834976196289,-12.029304504394531,-20.380952835083008,1575905288.469295
242,AA,-14.959707260131836,-6.8424906730651855,-7.545787334442139,-9.098898887634277,-7.340657711029053,1575905832.8034968
243,AR,-12.380952835083008,-8.600732803344727,-10.681317329406738,-10.241756439208984,-10.153844833374023,1576051267.670372
244,AA,-3.6776556968688965,0.0,-8.161171913146973,-12.70329475402832,-17.743589401245117,1575904910.76577
245,AA,-7.252745628356934,-8.073260307312012,-9.098898887634277,-7.575091361999512,-19.912086486816406,1576027140.9065452
246,AR,0.0,-18.153844833374023,-19.062271118164062,-8.776556968688965,-16.659339904785156,1576026641.8388438
247,AR,-15.780219078063965,-20.61538314819336,-7.076921463012695,-15.164834022521973,-8.131866455078125,1576026855.039037
